Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number,Absolute X-coordinate [mm],Absolute Y-coordinate [mm],Absolute Z-coordinate [mm]
1,1,1,0,0,0.0,1,1,1,-62.7,-60.74,-155.528
2,1,2,0,0,0.5,1,1,2,-62.7,-60.74,-155.028
3,1,3,0,0,1.0,1,1,3,-62.7,-60.74,-154.528
4,1,4,0,0,1.5,1,1,4,-62.7,-60.74,-154.028
5,1,5,0,0,2.0,1,1,5,-62.7,-60.74,-153.528
6,1,6,0,0,2.5,1,1,6,-62.7,-60.74,-153.028
7,1,7,0,0,3.0,1,1,7,-62.7,-60.74,-152.528
8,1,8,0,0,3.5,1,1,8,-62.7,-60.74,-152.028
9,1,9,0,0,4.0,1,1,9,-62.7,-60.74,-151.528
10,1,10,0,0,4.5,1,1,10,-62.7,-60.74,-151.028
11,1,11,0,0,5.0,1,1,11,-62.7,-60.74,-150.528
12,1,12,0,0,5.5,1,1,12,-62.7,-60.74,-150.028
13,1,13,0,0,6.0,1,1,13,-62.7,-60.74,-149.528
14,1,14,0,0,6.5,1,1,14,-62.7,-60.74,-149.028
15,1,15,0,0,7.0,1,1,15,-62.7,-60.74,-148.528
16,1,16,0,0,7.5,1,1,16,-62.7,-60.74,-148.028
17,1,17,0,0,8.0,1,1,17,-62.7,-60.74,-147.528
18,1,18,0,0,8.5,1,1,18,-62.7,-60.74,-147.028
19,1,19,0,0,9.0,1,1,19,-62.7,-60.74,-146.528
20,1,20,0,0,9.5,1,1,20,-62.7,-60.74,-146.028
21,1,21,0,0,10.0,1,1,21,-62.7,-60.74,-145.528
22,1,22,0,0,10.5,1,1,22,-62.7,-60.74,-145.028
23,1,23,0,0,11.0,1,1,23,-62.7,-60.74,-144.528
24,1,24,0,0,11.5,1,1,24,-62.7,-60.74,-144.028
25,1,25,0,0,12.0,1,1,25,-62.7,-60.74,-143.528
26,1,26,0,0,12.5,1,1,26,-62.7,-60.74,-143.028
27,1,27,0,0,13.0,1,1,27,-62.7,-60.74,-142.528
28,1,28,0,0,13.5,1,1,28,-62.7,-60.74,-142.028
29,1,29,0,0,14.0,1,1,29,-62.7,-60.74,-141.528
30,1,30,0,0,14.5,1,1,30,-62.7,-60.74,-141.028
31,1,31,0,0,15.0,1,1,31,-62.7,-60.74,-140.528
32,1,32,0,0,15.5,1,1,32,-62.7,-60.74,-140.028
33,1,33,0,0,16.0,1,1,33,-62.7,-60.74,-139.528
34,1,34,0,0,16.5,1,1,34,-62.7,-60.74,-139.028
35,1,35,0,0,17.0,1,1,35,-62.7,-60.74,-138.528
36,1,36,0,0,17.5,1,1,36,-62.7,-60.74,-138.028
37,1,37,0,0,18.0,1,1,37,-62.7,-60.74,-137.528
38,1,38,0,0,18.5,1,1,38,-62.7,-60.74,-137.028
39,1,39,0,0,19.0,1,1,39,-62.7,-60.74,-136.528
40,1,40,0,0,19.5,1,1,40,-62.7,-60.74,-136.028
41,1,41,0,0,20.0,1,1,41,-62.7,-60.74,-135.528
42,1,42,0,0,20.5,1,1,42,-62.7,-60.74,-135.028
43,1,43,0,0,21.0,1,1,43,-62.7,-60.74,-134.528
44,1,44,0,0,21.5,1,1,44,-62.7,-60.74,-134.028
45,1,45,0,0,22.0,1,1,45,-62.7,-60.74,-133.528
46,1,46,0,0,22.5,1,1,46,-62.7,-60.74,-133.028
47,1,47,0,0,23.0,1,1,47,-62.7,-60.74,-132.528
48,1,48,0,0,23.5,1,1,48,-62.7,-60.74,-132.028
49,1,49,0,0,24.0,1,1,49,-62.7,-60.74,-131.528
50,1,50,0,0,24.5,1,1,50,-62.7,-60.74,-131.028
51,1,51,0,0,25.0,1,1,51,-62.7,-60.74,-130.528
52,1,52,0,0,25.5,1,1,52,-62.7,-60.74,-130.028
53,1,53,0,0,26.0,1,1,53,-62.7,-60.74,-129.528
54,1,54,0,0,26.5,1,1,54,-62.7,-60.74,-129.028
55,1,55,0,0,27.0,1,1,55,-62.7,-60.74,-128.528
56,1,56,0,0,27.5,1,1,56,-62.7,-60.74,-128.028
57,1,57,0,0,28.0,1,1,57,-62.7,-60.74,-127.528
58,1,58,0,0,28.5,1,1,58,-62.7,-60.74,-127.028
59,1,59,0,0,29.0,1,1,59,-62.7,-60.74,-126.528
60,1,60,0,0,29.5,1,1,60,-62.7,-60.74,-126.028
