Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
1,1,1,0,0,0,1,1,1
2,1,2,0,0,0.1,1,1,2
3,1,3,0,0,0.2,1,1,3
4,1,4,0,0,0.3,1,1,4
5,1,5,0,0,0.4,1,1,5
6,1,6,0,0,0.5,1,1,6
7,1,7,0,0,0.6,1,1,7
8,1,8,0,0,0.7,1,1,8
9,1,9,0,0,0.8,1,1,9
10,1,10,0,0,0.9,1,1,10
11,1,11,0,0,1,1,1,11
12,1,12,0,0,1.1,1,1,12
13,1,13,0,0,1.2,1,1,13
14,1,14,0,0,1.3,1,1,14
15,1,15,0,0,1.4,1,1,15
16,1,16,0,0,1.5,1,1,16
17,1,17,0,0,1.6,1,1,17
18,1,18,0,0,1.7,1,1,18
19,1,19,0,0,1.8,1,1,19
20,1,20,0,0,1.9,1,1,20
21,1,21,0,0,2,1,1,21
22,1,22,0,0,2.1,1,1,22
23,1,23,0,0,2.2,1,1,23
24,1,24,0,0,2.3,1,1,24
25,1,25,0,0,2.4,1,1,25
26,1,26,0,0,2.5,1,1,26
27,1,27,0,0,2.6,1,1,27
28,1,28,0,0,2.7,1,1,28
29,1,29,0,0,2.8,1,1,29
30,1,30,0,0,2.9,1,1,30
31,1,31,0,0,3,1,1,31
32,1,32,0,0,3.1,1,1,32
33,1,33,0,0,3.2,1,1,33
34,1,34,0,0,3.3,1,1,34
35,1,35,0,0,3.4,1,1,35
36,1,36,0,0,3.5,1,1,36
37,1,37,0,0,3.6,1,1,37
38,1,38,0,0,3.7,1,1,38
39,1,39,0,0,3.8,1,1,39
40,1,40,0,0,3.9,1,1,40
41,1,41,0,0,4,1,1,41
42,1,42,0,0,4.1,1,1,42
43,1,43,0,0,4.2,1,1,43
44,1,44,0,0,4.3,1,1,44
45,1,45,0,0,4.4,1,1,45
46,1,46,0,0,4.5,1,1,46
47,1,47,0,0,4.6,1,1,47
48,1,48,0,0,4.7,1,1,48
49,1,49,0,0,4.8,1,1,49
50,1,50,0,0,4.9,1,1,50
51,1,51,0,0,5,1,1,51
52,1,52,0,0,5.1,1,1,52
53,1,53,0,0,5.2,1,1,53
54,1,54,0,0,5.3,1,1,54
55,1,55,0,0,5.4,1,1,55
56,1,56,0,0,5.5,1,1,56
57,1,57,0,0,5.6,1,1,57
58,1,58,0,0,5.7,1,1,58
59,1,59,0,0,5.8,1,1,59
60,1,60,0,0,5.9,1,1,60
61,1,61,0,0,6,1,1,61
62,1,62,0,0,6.1,1,1,62
63,1,63,0,0,6.2,1,1,63
64,1,64,0,0,6.3,1,1,64
65,1,65,0,0,6.4,1,1,65
66,1,66,0,0,6.5,1,1,66
67,1,67,0,0,6.6,1,1,67
68,1,68,0,0,6.7,1,1,68
69,1,69,0,0,6.8,1,1,69
70,1,70,0,0,6.9,1,1,70
71,1,71,0,0,7,1,1,71
72,1,72,0,0,7.1,1,1,72
73,1,73,0,0,7.2,1,1,73
74,1,74,0,0,7.3,1,1,74
75,1,75,0,0,7.4,1,1,75
76,1,76,0,0,7.5,1,1,76
77,1,77,0,0,7.6,1,1,77
78,1,78,0,0,7.7,1,1,78
79,1,79,0,0,7.8,1,1,79
80,1,80,0,0,7.9,1,1,80
81,1,81,0,0,8,1,1,81
82,1,82,0,0,8.1,1,1,82
83,1,83,0,0,8.2,1,1,83
84,1,84,0,0,8.3,1,1,84
85,1,85,0,0,8.4,1,1,85
86,1,86,0,0,8.5,1,1,86
87,1,87,0,0,8.6,1,1,87
88,1,88,0,0,8.7,1,1,88
89,1,89,0,0,8.8,1,1,89
90,1,90,0,0,8.9,1,1,90
91,1,91,0,0,9,1,1,91
92,1,92,0,0,9.1,1,1,92
93,1,93,0,0,9.2,1,1,93
94,1,94,0,0,9.3,1,1,94
95,1,95,0,0,9.4,1,1,95
96,1,96,0,0,9.5,1,1,96
97,1,97,0,0,9.6,1,1,97
98,1,98,0,0,9.7,1,1,98
99,1,99,0,0,9.8,1,1,99
100,1,100,0,0,9.9,1,1,100
101,1,101,0,0,10,1,1,101
102,1,102,0,0,10.1,1,1,102
103,1,103,0,0,10.2,1,1,103
