Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
1,1,1,-25,0,-25,1,1,1
2,1,2,-24.5,0,-25,1,2,1
3,1,3,-24,0,-25,1,3,1
4,1,4,-23.5,0,-25,1,4,1
5,1,5,-23,0,-25,1,5,1
6,1,6,-22.5,0,-25,1,6,1
7,1,7,-22,0,-25,1,7,1
8,1,8,-21.5,0,-25,1,8,1
9,1,9,-21,0,-25,1,9,1
10,1,10,-20.5,0,-25,1,10,1
11,1,11,-20,0,-25,1,11,1
12,1,12,-19.5,0,-25,1,12,1
13,1,13,-19,0,-25,1,13,1
14,1,14,-18.5,0,-25,1,14,1
15,1,15,-18,0,-25,1,15,1
16,1,16,-17.5,0,-25,1,16,1
17,1,17,-17,0,-25,1,17,1
18,1,18,-16.5,0,-25,1,18,1
19,1,19,-16,0,-25,1,19,1
20,1,20,-15.5,0,-25,1,20,1
21,1,21,-15,0,-25,1,21,1
22,1,22,-14.5,0,-25,1,22,1
23,1,23,-14,0,-25,1,23,1
24,1,24,-13.5,0,-25,1,24,1
25,1,25,-13,0,-25,1,25,1
26,1,26,-12.5,0,-25,1,26,1
27,1,27,-12,0,-25,1,27,1
28,1,28,-11.5,0,-25,1,28,1
29,1,29,-11,0,-25,1,29,1
30,1,30,-10.5,0,-25,1,30,1
31,1,31,-10,0,-25,1,31,1
32,1,32,-9.5,0,-25,1,32,1
33,1,33,-9,0,-25,1,33,1
34,1,34,-8.5,0,-25,1,34,1
35,1,35,-8,0,-25,1,35,1
36,1,36,-7.5,0,-25,1,36,1
37,1,37,-7,0,-25,1,37,1
38,1,38,-6.5,0,-25,1,38,1
39,1,39,-6,0,-25,1,39,1
40,1,40,-5.5,0,-25,1,40,1
41,1,41,-5,0,-25,1,41,1
42,1,42,-4.5,0,-25,1,42,1
43,1,43,-4,0,-25,1,43,1
44,1,44,-3.5,0,-25,1,44,1
45,1,45,-3,0,-25,1,45,1
46,1,46,-2.5,0,-25,1,46,1
47,1,47,-2,0,-25,1,47,1
48,1,48,-1.5,0,-25,1,48,1
49,1,49,-1,0,-25,1,49,1
50,1,50,-0.5,0,-25,1,50,1
51,1,51,0,0,-25,1,51,1
52,1,52,0.5,0,-25,1,52,1
53,1,53,1,0,-25,1,53,1
54,1,54,1.5,0,-25,1,54,1
55,1,55,2,0,-25,1,55,1
56,1,56,2.5,0,-25,1,56,1
57,1,57,3,0,-25,1,57,1
58,1,58,3.5,0,-25,1,58,1
59,1,59,4,0,-25,1,59,1
60,1,60,4.5,0,-25,1,60,1
61,1,61,5,0,-25,1,61,1
62,1,62,5.5,0,-25,1,62,1
63,1,63,6,0,-25,1,63,1
64,1,64,6.5,0,-25,1,64,1
65,1,65,7,0,-25,1,65,1
66,1,66,7.5,0,-25,1,66,1
67,1,67,8,0,-25,1,67,1
68,1,68,8.5,0,-25,1,68,1
69,1,69,9,0,-25,1,69,1
70,1,70,9.5,0,-25,1,70,1
71,1,71,10,0,-25,1,71,1
72,1,72,10.5,0,-25,1,72,1
73,1,73,11,0,-25,1,73,1
74,1,74,11.5,0,-25,1,74,1
75,1,75,12,0,-25,1,75,1
76,1,76,12.5,0,-25,1,76,1
77,1,77,13,0,-25,1,77,1
78,1,78,13.5,0,-25,1,78,1
79,1,79,14,0,-25,1,79,1
80,1,80,14.5,0,-25,1,80,1
81,1,81,15,0,-25,1,81,1
82,1,82,15.5,0,-25,1,82,1
83,1,83,16,0,-25,1,83,1
84,1,84,16.5,0,-25,1,84,1
85,1,85,17,0,-25,1,85,1
86,1,86,17.5,0,-25,1,86,1
87,1,87,18,0,-25,1,87,1
88,1,88,18.5,0,-25,1,88,1
89,1,89,19,0,-25,1,89,1
90,1,90,19.5,0,-25,1,90,1
91,1,91,20,0,-25,1,91,1
92,1,92,20.5,0,-25,1,92,1
93,1,93,21,0,-25,1,93,1
94,1,94,21.5,0,-25,1,94,1
95,1,95,22,0,-25,1,95,1
96,1,96,22.5,0,-25,1,96,1
97,1,97,23,0,-25,1,97,1
98,1,98,23.5,0,-25,1,98,1
99,1,99,24,0,-25,1,99,1
100,1,100,24.5,0,-25,1,100,1
101,1,101,25,0,-25,1,101,1
102,1,102,-25,0,-24.5,1,1,2
103,1,103,-24.5,0,-24.5,1,2,2
104,1,104,-24,0,-24.5,1,3,2
105,1,105,-23.5,0,-24.5,1,4,2
106,1,106,-23,0,-24.5,1,5,2
107,1,107,-22.5,0,-24.5,1,6,2
108,1,108,-22,0,-24.5,1,7,2
109,1,109,-21.5,0,-24.5,1,8,2
110,1,110,-21,0,-24.5,1,9,2
111,1,111,-20.5,0,-24.5,1,10,2
112,1,112,-20,0,-24.5,1,11,2
113,1,113,-19.5,0,-24.5,1,12,2
114,1,114,-19,0,-24.5,1,13,2
115,1,115,-18.5,0,-24.5,1,14,2
116,1,116,-18,0,-24.5,1,15,2
117,1,117,-17.5,0,-24.5,1,16,2
118,1,118,-17,0,-24.5,1,17,2
119,1,119,-16.5,0,-24.5,1,18,2
120,1,120,-16,0,-24.5,1,19,2
121,1,121,-15.5,0,-24.5,1,20,2
122,1,122,-15,0,-24.5,1,21,2
123,1,123,-14.5,0,-24.5,1,22,2
124,1,124,-14,0,-24.5,1,23,2
125,1,125,-13.5,0,-24.5,1,24,2
126,1,126,-13,0,-24.5,1,25,2
127,1,127,-12.5,0,-24.5,1,26,2
128,1,128,-12,0,-24.5,1,27,2
129,1,129,-11.5,0,-24.5,1,28,2
130,1,130,-11,0,-24.5,1,29,2
131,1,131,-10.5,0,-24.5,1,30,2
132,1,132,-10,0,-24.5,1,31,2
133,1,133,-9.5,0,-24.5,1,32,2
134,1,134,-9,0,-24.5,1,33,2
135,1,135,-8.5,0,-24.5,1,34,2
136,1,136,-8,0,-24.5,1,35,2
137,1,137,-7.5,0,-24.5,1,36,2
138,1,138,-7,0,-24.5,1,37,2
139,1,139,-6.5,0,-24.5,1,38,2
140,1,140,-6,0,-24.5,1,39,2
141,1,141,-5.5,0,-24.5,1,40,2
142,1,142,-5,0,-24.5,1,41,2
143,1,143,-4.5,0,-24.5,1,42,2
144,1,144,-4,0,-24.5,1,43,2
145,1,145,-3.5,0,-24.5,1,44,2
146,1,146,-3,0,-24.5,1,45,2
147,1,147,-2.5,0,-24.5,1,46,2
148,1,148,-2,0,-24.5,1,47,2
149,1,149,-1.5,0,-24.5,1,48,2
150,1,150,-1,0,-24.5,1,49,2
151,1,151,-0.5,0,-24.5,1,50,2
152,1,152,0,0,-24.5,1,51,2
153,1,153,0.5,0,-24.5,1,52,2
154,1,154,1,0,-24.5,1,53,2
155,1,155,1.5,0,-24.5,1,54,2
156,1,156,2,0,-24.5,1,55,2
157,1,157,2.5,0,-24.5,1,56,2
158,1,158,3,0,-24.5,1,57,2
159,1,159,3.5,0,-24.5,1,58,2
160,1,160,4,0,-24.5,1,59,2
161,1,161,4.5,0,-24.5,1,60,2
162,1,162,5,0,-24.5,1,61,2
163,1,163,5.5,0,-24.5,1,62,2
164,1,164,6,0,-24.5,1,63,2
165,1,165,6.5,0,-24.5,1,64,2
