Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
1,1,1,-25,-25,0,1,1,1
2,1,2,-25,-24.5,0,2,1,1
3,1,3,-25,-24,0,3,1,1
4,1,4,-25,-23.5,0,4,1,1
5,1,5,-25,-23,0,5,1,1
6,1,6,-25,-22.5,0,6,1,1
7,1,7,-25,-22,0,7,1,1
8,1,8,-25,-21.5,0,8,1,1
9,1,9,-25,-21,0,9,1,1
10,1,10,-25,-20.5,0,10,1,1
11,1,11,-25,-20,0,11,1,1
12,1,12,-25,-19.5,0,12,1,1
13,1,13,-25,-19,0,13,1,1
14,1,14,-25,-18.5,0,14,1,1
15,1,15,-25,-18,0,15,1,1
16,1,16,-25,-17.5,0,16,1,1
17,1,17,-25,-17,0,17,1,1
18,1,18,-25,-16.5,0,18,1,1
19,1,19,-25,-16,0,19,1,1
20,1,20,-25,-15.5,0,20,1,1
21,1,21,-25,-15,0,21,1,1
22,1,22,-25,-14.5,0,22,1,1
23,1,23,-25,-14,0,23,1,1
24,1,24,-25,-13.5,0,24,1,1
25,1,25,-25,-13,0,25,1,1
26,1,26,-25,-12.5,0,26,1,1
27,1,27,-25,-12,0,27,1,1
28,1,28,-25,-11.5,0,28,1,1
29,1,29,-25,-11,0,29,1,1
30,1,30,-25,-10.5,0,30,1,1
31,1,31,-25,-10,0,31,1,1
32,1,32,-25,-9.5,0,32,1,1
33,1,33,-25,-9,0,33,1,1
34,1,34,-25,-8.5,0,34,1,1
35,1,35,-25,-8,0,35,1,1
36,1,36,-25,-7.5,0,36,1,1
37,1,37,-25,-7,0,37,1,1
38,1,38,-25,-6.5,0,38,1,1
39,1,39,-25,-6,0,39,1,1
40,1,40,-25,-5.5,0,40,1,1
41,1,41,-25,-5,0,41,1,1
42,1,42,-25,-4.5,0,42,1,1
43,1,43,-25,-4,0,43,1,1
44,1,44,-25,-3.5,0,44,1,1
45,1,45,-25,-3,0,45,1,1
46,1,46,-25,-2.5,0,46,1,1
47,1,47,-25,-2,0,47,1,1
48,1,48,-25,-1.5,0,48,1,1
49,1,49,-25,-1,0,49,1,1
50,1,50,-25,-0.5,0,50,1,1
51,1,51,-25,0,0,51,1,1
52,1,52,-25,0.5,0,52,1,1
53,1,53,-25,1,0,53,1,1
54,1,54,-25,1.5,0,54,1,1
55,1,55,-25,2,0,55,1,1
56,1,56,-25,2.5,0,56,1,1
57,1,57,-25,3,0,57,1,1
58,1,58,-25,3.5,0,58,1,1
59,1,59,-25,4,0,59,1,1
60,1,60,-25,4.5,0,60,1,1
61,1,61,-25,5,0,61,1,1
62,1,62,-25,5.5,0,62,1,1
63,1,63,-25,6,0,63,1,1
64,1,64,-25,6.5,0,64,1,1
65,1,65,-25,7,0,65,1,1
66,1,66,-25,7.5,0,66,1,1
67,1,67,-25,8,0,67,1,1
68,1,68,-25,8.5,0,68,1,1
69,1,69,-25,9,0,69,1,1
70,1,70,-25,9.5,0,70,1,1
71,1,71,-25,10,0,71,1,1
72,1,72,-25,10.5,0,72,1,1
73,1,73,-25,11,0,73,1,1
74,1,74,-25,11.5,0,74,1,1
75,1,75,-25,12,0,75,1,1
76,1,76,-25,12.5,0,76,1,1
77,1,77,-25,13,0,77,1,1
78,1,78,-25,13.5,0,78,1,1
79,1,79,-25,14,0,79,1,1
80,1,80,-25,14.5,0,80,1,1
81,1,81,-25,15,0,81,1,1
82,1,82,-25,15.5,0,82,1,1
83,1,83,-25,16,0,83,1,1
84,1,84,-25,16.5,0,84,1,1
85,1,85,-25,17,0,85,1,1
86,1,86,-25,17.5,0,86,1,1
87,1,87,-25,18,0,87,1,1
88,1,88,-25,18.5,0,88,1,1
89,1,89,-25,19,0,89,1,1
90,1,90,-25,19.5,0,90,1,1
91,1,91,-25,20,0,91,1,1
92,1,92,-25,20.5,0,92,1,1
93,1,93,-25,21,0,93,1,1
94,1,94,-25,21.5,0,94,1,1
95,1,95,-25,22,0,95,1,1
96,1,96,-25,22.5,0,96,1,1
97,1,97,-25,23,0,97,1,1
98,1,98,-25,23.5,0,98,1,1
99,1,99,-25,24,0,99,1,1
