Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
1,1,1,-25,-25,11.5,1,1,1
2,1,2,-25,-23,11.5,2,1,1
3,1,3,-25,-21,11.5,3,1,1
4,1,4,-25,-19,11.5,4,1,1
5,1,5,-25,-17,11.5,5,1,1
6,1,6,-25,-15,11.5,6,1,1
7,1,7,-25,-13,11.5,7,1,1
8,1,8,-25,-11,11.5,8,1,1
9,1,9,-25,-9,11.5,9,1,1
10,1,10,-25,-7,11.5,10,1,1
11,1,11,-25,-5,11.5,11,1,1
12,1,12,-25,-3,11.5,12,1,1
13,1,13,-25,-1,11.5,13,1,1
14,1,14,-25,1,11.5,14,1,1
15,1,15,-25,3,11.5,15,1,1
16,1,16,-25,5,11.5,16,1,1
17,1,17,-25,7,11.5,17,1,1
18,1,18,-25,9,11.5,18,1,1
19,1,19,-25,11,11.5,19,1,1
20,1,20,-25,13,11.5,20,1,1
21,1,21,-25,15,11.5,21,1,1
22,1,22,-25,17,11.5,22,1,1
23,1,23,-25,19,11.5,23,1,1
24,1,24,-25,21,11.5,24,1,1
25,1,25,-25,23,11.5,25,1,1
26,1,26,-25,25,11.5,26,1,1
27,1,27,-23,-25,11.5,1,2,1
28,1,28,-23,-23,11.5,2,2,1
29,1,29,-23,-21,11.5,3,2,1
30,1,30,-23,-19,11.5,4,2,1
31,1,31,-23,-17,11.5,5,2,1
32,1,32,-23,-15,11.5,6,2,1
33,1,33,-23,-13,11.5,7,2,1
34,1,34,-23,-11,11.5,8,2,1
35,1,35,-23,-9,11.5,9,2,1
36,1,36,-23,-7,11.5,10,2,1
37,1,37,-23,-5,11.5,11,2,1
38,1,38,-23,-3,11.5,12,2,1
39,1,39,-23,-1,11.5,13,2,1
40,1,40,-23,1,11.5,14,2,1
41,1,41,-23,3,11.5,15,2,1
42,1,42,-23,5,11.5,16,2,1
43,1,43,-23,7,11.5,17,2,1
44,1,44,-23,9,11.5,18,2,1
45,1,45,-23,11,11.5,19,2,1
46,1,46,-23,13,11.5,20,2,1
47,1,47,-23,15,11.5,21,2,1
48,1,48,-23,17,11.5,22,2,1
49,1,49,-23,19,11.5,23,2,1
50,1,50,-23,21,11.5,24,2,1
51,1,51,-23,23,11.5,25,2,1
52,1,52,-23,25,11.5,26,2,1
53,1,53,-21,-25,11.5,1,3,1
54,1,54,-21,-23,11.5,2,3,1
55,1,55,-21,-21,11.5,3,3,1
56,1,56,-21,-19,11.5,4,3,1
57,1,57,-21,-17,11.5,5,3,1
58,1,58,-21,-15,11.5,6,3,1
59,1,59,-21,-13,11.5,7,3,1
60,1,60,-21,-11,11.5,8,3,1
61,1,61,-21,-9,11.5,9,3,1
62,1,62,-21,-7,11.5,10,3,1
63,1,63,-21,-5,11.5,11,3,1
64,1,64,-21,-3,11.5,12,3,1
65,1,65,-21,-1,11.5,13,3,1
66,1,66,-21,1,11.5,14,3,1
67,1,67,-21,3,11.5,15,3,1
68,1,68,-21,5,11.5,16,3,1
69,1,69,-21,7,11.5,17,3,1
70,1,70,-21,9,11.5,18,3,1
71,1,71,-21,11,11.5,19,3,1
72,1,72,-21,13,11.5,20,3,1
73,1,73,-21,15,11.5,21,3,1
74,1,74,-21,17,11.5,22,3,1
75,1,75,-21,19,11.5,23,3,1
76,1,76,-21,21,11.5,24,3,1
77,1,77,-21,23,11.5,25,3,1
78,1,78,-21,25,11.5,26,3,1
79,1,79,-19,-25,11.5,1,4,1
80,1,80,-19,-23,11.5,2,4,1
81,1,81,-19,-21,11.5,3,4,1
82,1,82,-19,-19,11.5,4,4,1
83,1,83,-19,-17,11.5,5,4,1
84,1,84,-19,-15,11.5,6,4,1
85,1,85,-19,-13,11.5,7,4,1
86,1,86,-19,-11,11.5,8,4,1
87,1,87,-19,-9,11.5,9,4,1
88,1,88,-19,-7,11.5,10,4,1
89,1,89,-19,-5,11.5,11,4,1
90,1,90,-19,-3,11.5,12,4,1
91,1,91,-19,-1,11.5,13,4,1
92,1,92,-19,1,11.5,14,4,1
93,1,93,-19,3,11.5,15,4,1
94,1,94,-19,5,11.5,16,4,1
95,1,95,-19,7,11.5,17,4,1
96,1,96,-19,9,11.5,18,4,1
97,1,97,-19,11,11.5,19,4,1
98,1,98,-19,13,11.5,20,4,1
99,1,99,-19,15,11.5,21,4,1
100,1,100,-19,17,11.5,22,4,1
101,1,101,-19,19,11.5,23,4,1
102,1,102,-19,21,11.5,24,4,1
103,1,103,-19,23,11.5,25,4,1
104,1,104,-19,25,11.5,26,4,1
105,1,105,-17,-25,11.5,1,5,1
106,1,106,-17,-23,11.5,2,5,1
107,1,107,-17,-21,11.5,3,5,1
108,1,108,-17,-19,11.5,4,5,1
109,1,109,-17,-17,11.5,5,5,1
110,1,110,-17,-15,11.5,6,5,1
111,1,111,-17,-13,11.5,7,5,1
112,1,112,-17,-11,11.5,8,5,1
113,1,113,-17,-9,11.5,9,5,1
114,1,114,-17,-7,11.5,10,5,1
115,1,115,-17,-5,11.5,11,5,1
116,1,116,-17,-3,11.5,12,5,1
117,1,117,-17,-1,11.5,13,5,1
118,1,118,-17,1,11.5,14,5,1
119,1,119,-17,3,11.5,15,5,1
120,1,120,-17,5,11.5,16,5,1
121,1,121,-17,7,11.5,17,5,1
122,1,122,-17,9,11.5,18,5,1
123,1,123,-17,11,11.5,19,5,1
124,1,124,-17,13,11.5,20,5,1
125,1,125,-17,15,11.5,21,5,1
126,1,126,-17,17,11.5,22,5,1
127,1,127,-17,19,11.5,23,5,1
128,1,128,-17,21,11.5,24,5,1
129,1,129,-17,23,11.5,25,5,1
130,1,130,-17,25,11.5,26,5,1
131,1,131,-15,-25,11.5,1,6,1
132,1,132,-15,-23,11.5,2,6,1
133,1,133,-15,-21,11.5,3,6,1
134,1,134,-15,-19,11.5,4,6,1
135,1,135,-15,-17,11.5,5,6,1
136,1,136,-15,-15,11.5,6,6,1
137,1,137,-15,-13,11.5,7,6,1
138,1,138,-15,-11,11.5,8,6,1
139,1,139,-15,-9,11.5,9,6,1
140,1,140,-15,-7,11.5,10,6,1
141,1,141,-15,-5,11.5,11,6,1
142,1,142,-15,-3,11.5,12,6,1
143,1,143,-15,-1,11.5,13,6,1
144,1,144,-15,1,11.5,14,6,1
145,1,145,-15,3,11.5,15,6,1
146,1,146,-15,5,11.5,16,6,1
147,1,147,-15,7,11.5,17,6,1
148,1,148,-15,9,11.5,18,6,1
149,1,149,-15,11,11.5,19,6,1
150,1,150,-15,13,11.5,20,6,1
151,1,151,-15,15,11.5,21,6,1
152,1,152,-15,17,11.5,22,6,1
153,1,153,-15,19,11.5,23,6,1
154,1,154,-15,21,11.5,24,6,1
155,1,155,-15,23,11.5,25,6,1
156,1,156,-15,25,11.5,26,6,1
157,1,157,-13,-25,11.5,1,7,1
158,1,158,-13,-23,11.5,2,7,1
159,1,159,-13,-21,11.5,3,7,1
160,1,160,-13,-19,11.5,4,7,1
161,1,161,-13,-17,11.5,5,7,1
162,1,162,-13,-15,11.5,6,7,1
163,1,163,-13,-13,11.5,7,7,1
164,1,164,-13,-11,11.5,8,7,1
165,1,165,-13,-9,11.5,9,7,1
166,1,166,-13,-7,11.5,10,7,1
167,1,167,-13,-5,11.5,11,7,1
168,1,168,-13,-3,11.5,12,7,1
169,1,169,-13,-1,11.5,13,7,1
170,1,170,-13,1,11.5,14,7,1
171,1,171,-13,3,11.5,15,7,1
172,1,172,-13,5,11.5,16,7,1
173,1,173,-13,7,11.5,17,7,1
174,1,174,-13,9,11.5,18,7,1
175,1,175,-13,11,11.5,19,7,1
176,1,176,-13,13,11.5,20,7,1
177,1,177,-13,15,11.5,21,7,1
178,1,178,-13,17,11.5,22,7,1
179,1,179,-13,19,11.5,23,7,1
180,1,180,-13,21,11.5,24,7,1
181,1,181,-13,23,11.5,25,7,1
182,1,182,-13,25,11.5,26,7,1
183,1,183,-11,-25,11.5,1,8,1
184,1,184,-11,-23,11.5,2,8,1
185,1,185,-11,-21,11.5,3,8,1
186,1,186,-11,-19,11.5,4,8,1
187,1,187,-11,-17,11.5,5,8,1
188,1,188,-11,-15,11.5,6,8,1
189,1,189,-11,-13,11.5,7,8,1
190,1,190,-11,-11,11.5,8,8,1
191,1,191,-11,-9,11.5,9,8,1
192,1,192,-11,-7,11.5,10,8,1
193,1,193,-11,-5,11.5,11,8,1
194,1,194,-11,-3,11.5,12,8,1
195,1,195,-11,-1,11.5,13,8,1
196,1,196,-11,1,11.5,14,8,1
197,1,197,-11,3,11.5,15,8,1
198,1,198,-11,5,11.5,16,8,1
199,1,199,-11,7,11.5,17,8,1
200,1,200,-11,9,11.5,18,8,1
201,1,201,-11,11,11.5,19,8,1
202,1,202,-11,13,11.5,20,8,1
203,1,203,-11,15,11.5,21,8,1
204,1,204,-11,17,11.5,22,8,1
205,1,205,-11,19,11.5,23,8,1
206,1,206,-11,21,11.5,24,8,1
207,1,207,-11,23,11.5,25,8,1
208,1,208,-11,25,11.5,26,8,1
209,1,209,-9,-25,11.5,1,9,1
210,1,210,-9,-23,11.5,2,9,1
211,1,211,-9,-21,11.5,3,9,1
212,1,212,-9,-19,11.5,4,9,1
213,1,213,-9,-17,11.5,5,9,1
214,1,214,-9,-15,11.5,6,9,1
215,1,215,-9,-13,11.5,7,9,1
216,1,216,-9,-11,11.5,8,9,1
217,1,217,-9,-9,11.5,9,9,1
218,1,218,-9,-7,11.5,10,9,1
219,1,219,-9,-5,11.5,11,9,1
220,1,220,-9,-3,11.5,12,9,1
221,1,221,-9,-1,11.5,13,9,1
222,1,222,-9,1,11.5,14,9,1
223,1,223,-9,3,11.5,15,9,1
224,1,224,-9,5,11.5,16,9,1
225,1,225,-9,7,11.5,17,9,1
226,1,226,-9,9,11.5,18,9,1
227,1,227,-9,11,11.5,19,9,1
228,1,228,-9,13,11.5,20,9,1
229,1,229,-9,15,11.5,21,9,1
230,1,230,-9,17,11.5,22,9,1
231,1,231,-9,19,11.5,23,9,1
232,1,232,-9,21,11.5,24,9,1
233,1,233,-9,23,11.5,25,9,1
234,1,234,-9,25,11.5,26,9,1
235,1,235,-7,-25,11.5,1,10,1
236,1,236,-7,-23,11.5,2,10,1
237,1,237,-7,-21,11.5,3,10,1
238,1,238,-7,-19,11.5,4,10,1
239,1,239,-7,-17,11.5,5,10,1
240,1,240,-7,-15,11.5,6,10,1
241,1,241,-7,-13,11.5,7,10,1
242,1,242,-7,-11,11.5,8,10,1
243,1,243,-7,-9,11.5,9,10,1
244,1,244,-7,-7,11.5,10,10,1
245,1,245,-7,-5,11.5,11,10,1
246,1,246,-7,-3,11.5,12,10,1
247,1,247,-7,-1,11.5,13,10,1
248,1,248,-7,1,11.5,14,10,1
249,1,249,-7,3,11.5,15,10,1
250,1,250,-7,5,11.5,16,10,1
251,1,251,-7,7,11.5,17,10,1
252,1,252,-7,9,11.5,18,10,1
253,1,253,-7,11,11.5,19,10,1
254,1,254,-7,13,11.5,20,10,1
255,1,255,-7,15,11.5,21,10,1
256,1,256,-7,17,11.5,22,10,1
257,1,257,-7,19,11.5,23,10,1
258,1,258,-7,21,11.5,24,10,1
259,1,259,-7,23,11.5,25,10,1
260,1,260,-7,25,11.5,26,10,1
261,1,261,-5,-25,11.5,1,11,1
262,1,262,-5,-23,11.5,2,11,1
263,1,263,-5,-21,11.5,3,11,1
264,1,264,-5,-19,11.5,4,11,1
265,1,265,-5,-17,11.5,5,11,1
266,1,266,-5,-15,11.5,6,11,1
267,1,267,-5,-13,11.5,7,11,1
268,1,268,-5,-11,11.5,8,11,1
269,1,269,-5,-9,11.5,9,11,1
270,1,270,-5,-7,11.5,10,11,1
271,1,271,-5,-5,11.5,11,11,1
272,1,272,-5,-3,11.5,12,11,1
273,1,273,-5,-1,11.5,13,11,1
274,1,274,-5,1,11.5,14,11,1
275,1,275,-5,3,11.5,15,11,1
276,1,276,-5,5,11.5,16,11,1
277,1,277,-5,7,11.5,17,11,1
278,1,278,-5,9,11.5,18,11,1
279,1,279,-5,11,11.5,19,11,1
280,1,280,-5,13,11.5,20,11,1
281,1,281,-5,15,11.5,21,11,1
282,1,282,-5,17,11.5,22,11,1
283,1,283,-5,19,11.5,23,11,1
284,1,284,-5,21,11.5,24,11,1
285,1,285,-5,23,11.5,25,11,1
286,1,286,-5,25,11.5,26,11,1
287,1,287,-3,-25,11.5,1,12,1
288,1,288,-3,-23,11.5,2,12,1
289,1,289,-3,-21,11.5,3,12,1
290,1,290,-3,-19,11.5,4,12,1
291,1,291,-3,-17,11.5,5,12,1
292,1,292,-3,-15,11.5,6,12,1
293,1,293,-3,-13,11.5,7,12,1
294,1,294,-3,-11,11.5,8,12,1
295,1,295,-3,-9,11.5,9,12,1
296,1,296,-3,-7,11.5,10,12,1
297,1,297,-3,-5,11.5,11,12,1
298,1,298,-3,-3,11.5,12,12,1
299,1,299,-3,-1,11.5,13,12,1
300,1,300,-3,1,11.5,14,12,1
301,1,301,-3,3,11.5,15,12,1
302,1,302,-3,5,11.5,16,12,1
303,1,303,-3,7,11.5,17,12,1
304,1,304,-3,9,11.5,18,12,1
305,1,305,-3,11,11.5,19,12,1
306,1,306,-3,13,11.5,20,12,1
307,1,307,-3,15,11.5,21,12,1
308,1,308,-3,17,11.5,22,12,1
309,1,309,-3,19,11.5,23,12,1
310,1,310,-3,21,11.5,24,12,1
311,1,311,-3,23,11.5,25,12,1
312,1,312,-3,25,11.5,26,12,1
313,1,313,-1,-25,11.5,1,13,1
314,1,314,-1,-23,11.5,2,13,1
315,1,315,-1,-21,11.5,3,13,1
316,1,316,-1,-19,11.5,4,13,1
317,1,317,-1,-17,11.5,5,13,1
318,1,318,-1,-15,11.5,6,13,1
319,1,319,-1,-13,11.5,7,13,1
320,1,320,-1,-11,11.5,8,13,1
321,1,321,-1,-9,11.5,9,13,1
322,1,322,-1,-7,11.5,10,13,1
323,1,323,-1,-5,11.5,11,13,1
324,1,324,-1,-3,11.5,12,13,1
325,1,325,-1,-1,11.5,13,13,1
326,1,326,-1,1,11.5,14,13,1
327,1,327,-1,3,11.5,15,13,1
328,1,328,-1,5,11.5,16,13,1
329,1,329,-1,7,11.5,17,13,1
330,1,330,-1,9,11.5,18,13,1
331,1,331,-1,11,11.5,19,13,1
332,1,332,-1,13,11.5,20,13,1
333,1,333,-1,15,11.5,21,13,1
334,1,334,-1,17,11.5,22,13,1
335,1,335,-1,19,11.5,23,13,1
336,1,336,-1,21,11.5,24,13,1
337,1,337,-1,23,11.5,25,13,1
338,1,338,-1,25,11.5,26,13,1
339,1,339,1,-25,11.5,1,14,1
340,1,340,1,-23,11.5,2,14,1
341,1,341,1,-21,11.5,3,14,1
342,1,342,1,-19,11.5,4,14,1
343,1,343,1,-17,11.5,5,14,1
344,1,344,1,-15,11.5,6,14,1
