Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
1,1,1,0.5,0,20,1,1,1
2,1,2,0.5,0,21,2,1,1
3,1,3,0.5,0,22,3,1,1
4,1,4,0.5,0,23,4,1,1
5,1,5,0.5,0,24,5,1,1
6,1,6,0.5,0,25,6,1,1
7,1,7,0.5,0,26,7,1,1
8,1,8,0.5,0,27,8,1,1
9,1,9,0.5,0,28,9,1,1
10,1,10,0.5,0,29,10,1,1
11,1,11,0.5,0,30,11,1,1
12,1,12,0.5,0,31,12,1,1
13,1,13,0.5,0,32,13,1,1
14,1,14,0.5,0,33,14,1,1
15,1,15,0.5,0,34,15,1,1
16,1,16,0.5,0,35,16,1,1
17,1,17,0.5,0,36,17,1,1
18,1,18,0.5,0,37,18,1,1
19,1,19,0.5,0,38,19,1,1
20,1,20,0.5,0,39,20,1,1
21,1,21,0.5,0,40,21,1,1
22,1,22,0.5,0,41,22,1,1
23,1,23,0.5,0,42,23,1,1
24,1,24,0.5,0,43,24,1,1
25,1,25,0.5,0,44,25,1,1
26,1,26,0.5,0,45,26,1,1
27,1,27,0.5,0,46,27,1,1
28,1,28,0.5,0,47,28,1,1
29,1,29,0.5,0,48,29,1,1
30,1,30,0.5,0,49,30,1,1
31,1,31,0.5,0,50,31,1,1
32,1,32,0.5,0,51,32,1,1
33,1,33,0.5,0,52,33,1,1
34,1,34,0.5,0,53,34,1,1
35,1,35,0.5,0,54,35,1,1
36,1,36,0.5,0,55,36,1,1
37,1,37,0.5,0,56,37,1,1
38,1,38,0.5,0,57,38,1,1
39,1,39,0.5,0,58,39,1,1
40,1,40,0.5,0,59,40,1,1
41,1,41,0.5,0,60,41,1,1
42,1,42,0.5,0,61,42,1,1
43,1,43,0.5,0,62,43,1,1
44,1,44,0.5,0,63,44,1,1
45,1,45,0.5,0,64,45,1,1
46,1,46,0.5,0,65,46,1,1
47,1,47,0.5,0,66,47,1,1
48,1,48,0.5,0,67,48,1,1
49,1,49,0.5,0,68,49,1,1
50,1,50,0.5,0,69,50,1,1
51,1,51,0.5,0,70,51,1,1
52,1,52,-0.25,0.433012701892219,70,52,1,1
53,1,53,-0.25,0.433012701892219,69,53,1,1
54,1,54,-0.25,0.433012701892219,68,54,1,1
55,1,55,-0.25,0.433012701892219,67,55,1,1
56,1,56,-0.25,0.433012701892219,66,56,1,1
57,1,57,-0.25,0.433012701892219,65,57,1,1
58,1,58,-0.25,0.433012701892219,64,58,1,1
59,1,59,-0.25,0.433012701892219,63,59,1,1
60,1,60,-0.25,0.433012701892219,62,60,1,1
61,1,61,-0.25,0.433012701892219,61,61,1,1
62,1,62,-0.25,0.433012701892219,60,62,1,1
63,1,63,-0.25,0.433012701892219,59,63,1,1
64,1,64,-0.25,0.433012701892219,58,64,1,1
65,1,65,-0.25,0.433012701892219,57,65,1,1
66,1,66,-0.25,0.433012701892219,56,66,1,1
67,1,67,-0.25,0.433012701892219,55,67,1,1
68,1,68,-0.25,0.433012701892219,54,68,1,1
69,1,69,-0.25,0.433012701892219,53,69,1,1
70,1,70,-0.25,0.433012701892219,52,70,1,1
71,1,71,-0.25,0.433012701892219,51,71,1,1
72,1,72,-0.25,0.433012701892219,50,72,1,1
73,1,73,-0.25,0.433012701892219,49,73,1,1
74,1,74,-0.25,0.433012701892219,48,74,1,1
75,1,75,-0.25,0.433012701892219,47,75,1,1
76,1,76,-0.25,0.433012701892219,46,76,1,1
77,1,77,-0.25,0.433012701892219,45,77,1,1
78,1,78,-0.25,0.433012701892219,44,78,1,1
79,1,79,-0.25,0.433012701892219,43,79,1,1
80,1,80,-0.25,0.433012701892219,42,80,1,1
81,1,81,-0.25,0.433012701892219,41,81,1,1
82,1,82,-0.25,0.433012701892219,40,82,1,1
83,1,83,-0.25,0.433012701892219,39,83,1,1
84,1,84,-0.25,0.433012701892219,38,84,1,1
85,1,85,-0.25,0.433012701892219,37,85,1,1
86,1,86,-0.25,0.433012701892219,36,86,1,1
87,1,87,-0.25,0.433012701892219,35,87,1,1
88,1,88,-0.25,0.433012701892219,34,88,1,1
89,1,89,-0.25,0.433012701892219,33,89,1,1
90,1,90,-0.25,0.433012701892219,32,90,1,1
91,1,91,-0.25,0.433012701892219,31,91,1,1
92,1,92,-0.25,0.433012701892219,30,92,1,1
93,1,93,-0.25,0.433012701892219,29,93,1,1
94,1,94,-0.25,0.433012701892219,28,94,1,1
95,1,95,-0.25,0.433012701892219,27,95,1,1
96,1,96,-0.25,0.433012701892219,26,96,1,1
97,1,97,-0.25,0.433012701892219,25,97,1,1
98,1,98,-0.25,0.433012701892219,24,98,1,1
99,1,99,-0.25,0.433012701892219,23,99,1,1
100,1,100,-0.25,0.433012701892219,22,100,1,1
101,1,101,-0.25,0.433012701892219,21,101,1,1
102,1,102,-0.25,0.433012701892219,20,102,1,1
103,1,103,-0.25,-0.433012701892219,20,103,1,1
104,1,104,-0.25,-0.433012701892219,21,104,1,1
105,1,105,-0.25,-0.433012701892219,22,105,1,1
106,1,106,-0.25,-0.433012701892219,23,106,1,1
107,1,107,-0.25,-0.433012701892219,24,107,1,1
108,1,108,-0.25,-0.433012701892219,25,108,1,1
109,1,109,-0.25,-0.433012701892219,26,109,1,1
110,1,110,-0.25,-0.433012701892219,27,110,1,1
111,1,111,-0.25,-0.433012701892219,28,111,1,1
112,1,112,-0.25,-0.433012701892219,29,112,1,1
113,1,113,-0.25,-0.433012701892219,30,113,1,1
114,1,114,-0.25,-0.433012701892219,31,114,1,1
115,1,115,-0.25,-0.433012701892219,32,115,1,1
116,1,116,-0.25,-0.433012701892219,33,116,1,1
117,1,117,-0.25,-0.433012701892219,34,117,1,1
118,1,118,-0.25,-0.433012701892219,35,118,1,1
119,1,119,-0.25,-0.433012701892219,36,119,1,1
120,1,120,-0.25,-0.433012701892219,37,120,1,1
121,1,121,-0.25,-0.433012701892219,38,121,1,1
122,1,122,-0.25,-0.433012701892219,39,122,1,1
123,1,123,-0.25,-0.433012701892219,40,123,1,1
124,1,124,-0.25,-0.433012701892219,41,124,1,1
125,1,125,-0.25,-0.433012701892219,42,125,1,1
126,1,126,-0.25,-0.433012701892219,43,126,1,1
127,1,127,-0.25,-0.433012701892219,44,127,1,1
128,1,128,-0.25,-0.433012701892219,45,128,1,1
129,1,129,-0.25,-0.433012701892219,46,129,1,1
130,1,130,-0.25,-0.433012701892219,47,130,1,1
131,1,131,-0.25,-0.433012701892219,48,131,1,1
132,1,132,-0.25,-0.433012701892219,49,132,1,1
133,1,133,-0.25,-0.433012701892219,50,133,1,1
134,1,134,-0.25,-0.433012701892219,51,134,1,1
135,1,135,-0.25,-0.433012701892219,52,135,1,1
136,1,136,-0.25,-0.433012701892219,53,136,1,1
137,1,137,-0.25,-0.433012701892219,54,137,1,1
138,1,138,-0.25,-0.433012701892219,55,138,1,1
139,1,139,-0.25,-0.433012701892219,56,139,1,1
140,1,140,-0.25,-0.433012701892219,57,140,1,1
141,1,141,-0.25,-0.433012701892219,58,141,1,1
142,1,142,-0.25,-0.433012701892219,59,142,1,1
143,1,143,-0.25,-0.433012701892219,60,143,1,1
144,1,144,-0.25,-0.433012701892219,61,144,1,1
145,1,145,-0.25,-0.433012701892219,62,145,1,1
146,1,146,-0.25,-0.433012701892219,63,146,1,1
147,1,147,-0.25,-0.433012701892219,64,147,1,1
148,1,148,-0.25,-0.433012701892219,65,148,1,1
149,1,149,-0.25,-0.433012701892219,66,149,1,1
150,1,150,-0.25,-0.433012701892219,67,150,1,1
151,1,151,-0.25,-0.433012701892219,68,151,1,1
152,1,152,-0.25,-0.433012701892219,69,152,1,1
153,1,153,-0.25,-0.433012701892219,70,153,1,1
154,1,154,1.5,0,20,154,1,1
155,1,155,1.5,0,21,155,1,1
156,1,156,1.5,0,22,156,1,1
157,1,157,1.5,0,23,157,1,1
158,1,158,1.5,0,24,158,1,1
159,1,159,1.5,0,25,159,1,1
160,1,160,1.5,0,26,160,1,1
161,1,161,1.5,0,27,161,1,1
162,1,162,1.5,0,28,162,1,1
163,1,163,1.5,0,29,163,1,1
164,1,164,1.5,0,30,164,1,1
165,1,165,1.5,0,31,165,1,1
166,1,166,1.5,0,32,166,1,1
167,1,167,1.5,0,33,167,1,1
168,1,168,1.5,0,34,168,1,1
169,1,169,1.5,0,35,169,1,1
170,1,170,1.5,0,36,170,1,1
171,1,171,1.5,0,37,171,1,1
172,1,172,1.5,0,38,172,1,1
173,1,173,1.5,0,39,173,1,1
174,1,174,1.5,0,40,174,1,1
175,1,175,1.5,0,41,175,1,1
176,1,176,1.5,0,42,176,1,1
177,1,177,1.5,0,43,177,1,1
178,1,178,1.5,0,44,178,1,1
179,1,179,1.5,0,45,179,1,1
180,1,180,1.5,0,46,180,1,1
181,1,181,1.5,0,47,181,1,1
182,1,182,1.5,0,48,182,1,1
183,1,183,1.5,0,49,183,1,1
184,1,184,1.5,0,50,184,1,1
185,1,185,1.5,0,51,185,1,1
186,1,186,1.5,0,52,186,1,1
187,1,187,1.5,0,53,187,1,1
188,1,188,1.5,0,54,188,1,1
189,1,189,1.5,0,55,189,1,1
190,1,190,1.5,0,56,190,1,1
191,1,191,1.5,0,57,191,1,1
192,1,192,1.5,0,58,192,1,1
193,1,193,1.5,0,59,193,1,1
194,1,194,1.5,0,60,194,1,1
195,1,195,1.5,0,61,195,1,1
196,1,196,1.5,0,62,196,1,1
197,1,197,1.5,0,63,197,1,1
198,1,198,1.5,0,64,198,1,1
199,1,199,1.5,0,65,199,1,1
200,1,200,1.5,0,66,200,1,1
201,1,201,1.5,0,67,201,1,1
202,1,202,1.5,0,68,202,1,1
203,1,203,1.5,0,69,203,1,1
204,1,204,1.5,0,70,204,1,1
205,1,205,1.14906666467847,0.964181414529809,70,205,1,1
206,1,206,1.14906666467847,0.964181414529809,69,206,1,1
207,1,207,1.14906666467847,0.964181414529809,68,207,1,1
208,1,208,1.14906666467847,0.964181414529809,67,208,1,1
209,1,209,1.14906666467847,0.964181414529809,66,209,1,1
210,1,210,1.14906666467847,0.964181414529809,65,210,1,1
211,1,211,1.14906666467847,0.964181414529809,64,211,1,1
212,1,212,1.14906666467847,0.964181414529809,63,212,1,1
213,1,213,1.14906666467847,0.964181414529809,62,213,1,1
214,1,214,1.14906666467847,0.964181414529809,61,214,1,1
215,1,215,1.14906666467847,0.964181414529809,60,215,1,1
216,1,216,1.14906666467847,0.964181414529809,59,216,1,1
217,1,217,1.14906666467847,0.964181414529809,58,217,1,1
218,1,218,1.14906666467847,0.964181414529809,57,218,1,1
219,1,219,1.14906666467847,0.964181414529809,56,219,1,1
220,1,220,1.14906666467847,0.964181414529809,55,220,1,1
221,1,221,1.14906666467847,0.964181414529809,54,221,1,1
222,1,222,1.14906666467847,0.964181414529809,53,222,1,1
223,1,223,1.14906666467847,0.964181414529809,52,223,1,1
224,1,224,1.14906666467847,0.964181414529809,51,224,1,1
225,1,225,1.14906666467847,0.964181414529809,50,225,1,1
226,1,226,1.14906666467847,0.964181414529809,49,226,1,1
227,1,227,1.14906666467847,0.964181414529809,48,227,1,1
228,1,228,1.14906666467847,0.964181414529809,47,228,1,1
229,1,229,1.14906666467847,0.964181414529809,46,229,1,1
230,1,230,1.14906666467847,0.964181414529809,45,230,1,1
231,1,231,1.14906666467847,0.964181414529809,44,231,1,1
232,1,232,1.14906666467847,0.964181414529809,43,232,1,1
233,1,233,1.14906666467847,0.964181414529809,42,233,1,1
234,1,234,1.14906666467847,0.964181414529809,41,234,1,1
235,1,235,1.14906666467847,0.964181414529809,40,235,1,1
236,1,236,1.14906666467847,0.964181414529809,39,236,1,1
237,1,237,1.14906666467847,0.964181414529809,38,237,1,1
238,1,238,1.14906666467847,0.964181414529809,37,238,1,1
239,1,239,1.14906666467847,0.964181414529809,36,239,1,1
240,1,240,1.14906666467847,0.964181414529809,35,240,1,1
241,1,241,1.14906666467847,0.964181414529809,34,241,1,1
242,1,242,1.14906666467847,0.964181414529809,33,242,1,1
243,1,243,1.14906666467847,0.964181414529809,32,243,1,1
244,1,244,1.14906666467847,0.964181414529809,31,244,1,1
245,1,245,1.14906666467847,0.964181414529809,30,245,1,1
246,1,246,1.14906666467847,0.964181414529809,29,246,1,1
247,1,247,1.14906666467847,0.964181414529809,28,247,1,1
248,1,248,1.14906666467847,0.964181414529809,27,248,1,1
249,1,249,1.14906666467847,0.964181414529809,26,249,1,1
250,1,250,1.14906666467847,0.964181414529809,25,250,1,1
251,1,251,1.14906666467847,0.964181414529809,24,251,1,1
252,1,252,1.14906666467847,0.964181414529809,23,252,1,1
253,1,253,1.14906666467847,0.964181414529809,22,253,1,1
254,1,254,1.14906666467847,0.964181414529809,21,254,1,1
255,1,255,1.14906666467847,0.964181414529809,20,255,1,1
256,1,256,0.260472266500396,1.47721162951831,20,256,1,1
257,1,257,0.260472266500396,1.47721162951831,21,257,1,1
258,1,258,0.260472266500396,1.47721162951831,22,258,1,1
259,1,259,0.260472266500396,1.47721162951831,23,259,1,1
260,1,260,0.260472266500396,1.47721162951831,24,260,1,1
261,1,261,0.260472266500396,1.47721162951831,25,261,1,1
262,1,262,0.260472266500396,1.47721162951831,26,262,1,1
263,1,263,0.260472266500396,1.47721162951831,27,263,1,1
264,1,264,0.260472266500396,1.47721162951831,28,264,1,1
265,1,265,0.260472266500396,1.47721162951831,29,265,1,1
266,1,266,0.260472266500396,1.47721162951831,30,266,1,1
267,1,267,0.260472266500396,1.47721162951831,31,267,1,1
268,1,268,0.260472266500396,1.47721162951831,32,268,1,1
269,1,269,0.260472266500396,1.47721162951831,33,269,1,1
270,1,270,0.260472266500396,1.47721162951831,34,270,1,1
271,1,271,0.260472266500396,1.47721162951831,35,271,1,1
272,1,272,0.260472266500396,1.47721162951831,36,272,1,1
273,1,273,0.260472266500396,1.47721162951831,37,273,1,1
274,1,274,0.260472266500396,1.47721162951831,38,274,1,1
275,1,275,0.260472266500396,1.47721162951831,39,275,1,1
276,1,276,0.260472266500396,1.47721162951831,40,276,1,1
277,1,277,0.260472266500396,1.47721162951831,41,277,1,1
278,1,278,0.260472266500396,1.47721162951831,42,278,1,1
279,1,279,0.260472266500396,1.47721162951831,43,279,1,1
280,1,280,0.260472266500396,1.47721162951831,44,280,1,1
281,1,281,0.260472266500396,1.47721162951831,45,281,1,1
282,1,282,0.260472266500396,1.47721162951831,46,282,1,1
283,1,283,0.260472266500396,1.47721162951831,47,283,1,1
284,1,284,0.260472266500396,1.47721162951831,48,284,1,1
285,1,285,0.260472266500396,1.47721162951831,49,285,1,1
286,1,286,0.260472266500396,1.47721162951831,50,286,1,1
287,1,287,0.260472266500396,1.47721162951831,51,287,1,1
288,1,288,0.260472266500396,1.47721162951831,52,288,1,1
289,1,289,0.260472266500396,1.47721162951831,53,289,1,1
290,1,290,0.260472266500396,1.47721162951831,54,290,1,1
291,1,291,0.260472266500396,1.47721162951831,55,291,1,1
292,1,292,0.260472266500396,1.47721162951831,56,292,1,1
293,1,293,0.260472266500396,1.47721162951831,57,293,1,1
294,1,294,0.260472266500396,1.47721162951831,58,294,1,1
