Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
90503,1,90503,-5.64052652293405,-14.4372594540681,6,90503,1,1
90504,1,90504,-5.64052652293405,-14.4372594540681,5,90504,1,1
90505,1,90505,-5.64052652293405,-14.4372594540681,4,90505,1,1
90506,1,90506,-5.64052652293405,-14.4372594540681,3,90506,1,1
90507,1,90507,-4.69417617641823,-14.7720922697073,3,90507,1,1
90508,1,90508,-4.69417617641823,-14.7720922697073,4,90508,1,1
90509,1,90509,-4.69417617641823,-14.7720922697073,5,90509,1,1
90510,1,90510,-4.69417617641823,-14.7720922697073,6,90510,1,1
90511,1,90511,-4.69417617641823,-14.7720922697073,7,90511,1,1
90512,1,90512,-4.69417617641823,-14.7720922697073,8,90512,1,1
90513,1,90513,-4.69417617641823,-14.7720922697073,9,90513,1,1
90514,1,90514,-4.69417617641823,-14.7720922697073,10,90514,1,1
90515,1,90515,-4.69417617641823,-14.7720922697073,11,90515,1,1
90516,1,90516,-4.69417617641823,-14.7720922697073,12,90516,1,1
90517,1,90517,-4.69417617641823,-14.7720922697073,13,90517,1,1
90518,1,90518,-4.69417617641823,-14.7720922697073,14,90518,1,1
90519,1,90519,-4.69417617641823,-14.7720922697073,15,90519,1,1
90520,1,90520,-4.69417617641823,-14.7720922697073,16,90520,1,1
90521,1,90521,-4.69417617641823,-14.7720922697073,17,90521,1,1
90522,1,90522,-4.69417617641823,-14.7720922697073,18,90522,1,1
90523,1,90523,-4.69417617641823,-14.7720922697073,19,90523,1,1
90524,1,90524,-4.69417617641823,-14.7720922697073,20,90524,1,1
90525,1,90525,-4.69417617641823,-14.7720922697073,21,90525,1,1
90526,1,90526,-4.69417617641823,-14.7720922697073,22,90526,1,1
90527,1,90527,-4.69417617641823,-14.7720922697073,23,90527,1,1
90528,1,90528,-4.69417617641823,-14.7720922697073,24,90528,1,1
90529,1,90529,-4.69417617641823,-14.7720922697073,25,90529,1,1
90530,1,90530,-4.69417617641823,-14.7720922697073,26,90530,1,1
